name,2017,2018,2019,2020,2021,2022
Agricultura\Culturas Temporárias\Alho\Quantidade Produzida\ (t),75,5,-,-,-,-
Agricultura\Culturas Temporárias\Abacaxi\Quantidade Produzida\ (mil frutos),-,-,-,-,-,-
Agricultura\Culturas Permanentes\Uva\Quantidade Produzida\ (t),750,750,960,1050,1050,1160
Agricultura\Culturas Permanentes\Tangerina\Quantidade Produzida\ (t),139,320,320,400,400,400
Agricultura\Culturas Permanentes\Tungue\Quantidade Produzida\ (t),-,-,-,-,-,-
Agricultura\Culturas Permanentes\Pêssego\Quantidade Produzida\ (t),47575,34846,18107,22770,37200,31500
Agricultura\Culturas Permanentes\Pera\Quantidade Produzida\ (t),-,-,-,-,-,-
Agricultura\Culturas Permanentes\Palmito\Quantidade Produzida\ (t),-,-,-,-,-,-
Agricultura\Culturas Permanentes\Noz\Quantidade Produzida\ (t),-,-,-,-,-,-
Agricultura\Culturas Permanentes\Marmelo\Quantidade Produzida\ (t),-,-,-,-,-,-
Agricultura\Culturas Permanentes\Maracujá\Quantidade Produzida\ (t),-,-,-,-,-,-
Agricultura\Culturas Permanentes\Manga\Quantidade Produzida\ (t),-,-,-,-,-,-
Agricultura\Culturas Permanentes\Mamão\Quantidade Produzida\ (t),-,-,-,-,-,-
Agricultura\Culturas Permanentes\Maçã\Quantidade Produzida\ (t),36,36,120,48,48,48
Agricultura\Culturas Permanentes\Limão\Quantidade Produzida\ (t),-,-,-,-,-,-
Agricultura\Culturas Permanentes\Laranja\Quantidade Produzida\ (t),977,1800,1800,1440,1440,1440
Agricultura\Culturas Permanentes\Goiaba\Quantidade Produzida\ (t),200,200,300,150,150,300
Agricultura\Culturas Permanentes\Figo\Quantidade Produzida\ (t),160,140,210,147,300,240
Agricultura\Culturas Permanentes\Erva mate\Quantidade Produzida\ (t),-,-,-,-,-,-
Agricultura\Culturas Permanentes\Caqui\Quantidade Produzida\ (t),120,120,120,60,36,36
Agricultura\Culturas Permanentes\Banana\Quantidade Produzida\ (t),-,-,-,-,-,-
Agricultura\Culturas Permanentes\Azeitona\Quantidade Produzida\ (t),-,-,-,-,-,-
Agricultura\Culturas Permanentes\Abacate\Quantidade Produzida\ (t),-,-,-,-,-,-
